trial_number	correct	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fixation_time	go_time	target_duration	response_time	trial_length	pd_parser_sample
251	1	fast	0.4	0.7	right	79	0.40757	0.34376	1.432	0.86014	1.8193	5.7846	2720186
252	0	fast	0.5	0.5	left	80	0.41622	0.34508	1.3334	0.86014	1.7297	5.6867	2725973
253	1	fast	0.7	0.5	right	79	0.39583	0.34498	1.5332	0.86014	1.9094	5.887	2731659
254	0	fast	0.4	0.4	left	80	0.38187	0.34398	1.1309	0.86014	1.4946	5.4856	2737545
255	0	fast	0.3	0.4	left	80	0.43617	0.34399	1.0322	0.86014	1.4478	5.3892	2743031
256	0	fast	0.4	0.5	left	80	0.35444	0.35766	1.2289	0.86014	1.5635	5.5861	2748434
257	0	fast	0.7	0.3	left	80	0.43632	0.35729	1.3296	0.86014	1.7459	5.6841	2754020
258	0	fast	0.6	0.5	left	80	0.38248	0.34232	1.4308	0.86014	1.7933	5.7845	2759690
259	0	fast	0.6	0.3	left	80	0.41181	0.34376	1.2327	0.86014	1.6244	5.586	2765476
260	1	fast	0.7	0.3	right	79	0.43022	0.36105	1.3303	0.86014	1.7427	5.6868	2771079
261	0	fast	0.4	0.4	left	80	0.42753	0.35975	1.1316	0.86014	1.5383	5.4841	2776765
262	0	fast	0.3	0.6	left	80	0.36144	0.34518	1.233	0.86014	1.5748	5.5868	2782234
263	1	fast	0.3	0.5	right	79	0.3935	0.36069	1.1313	0.86014	1.5054	5.4857	2787837
264	0	fast	0.7	0.4	left	80	0.3691	0.36121	1.4337	0.86014	1.7823	5.7883	2793323
265	0	fast	0.3	0.4	left	80	0.37375	0.359	1.0304	0.86014	1.3839	5.3839	2799110
266	0	fast	0.4	0.4	left	80	0.52257	0.36082	1.1323	0.86014	1.6343	5.486	2804496
267	0	fast	0.6	0.3	left	80	0.36086	0.36058	1.2324	0.86014	1.5734	5.5868	2809982
268	1	fast	0.5	0.6	right	79	0.43071	0.39249	1.4314	0.86014	1.842	5.7851	2815601
269	1	fast	0.6	0.4	right	79	0.51483	0.35997	1.3322	0.86014	1.8265	5.6842	2821354
270	0	fast	0.5	0.7	left	80	0.38229	0.36216	1.533	0.86014	1.897	5.8873	2827040
271	1	fast	0.4	0.5	right	79	0.43641	0.36067	1.2321	0.86014	1.6477	5.5856	2832927
272	0	fast	0.3	0.7	left	80	0.48078	0.37189	1.3332	0.86014	1.7936	5.6871	2838513
273	1	fast	0.7	0.4	right	79	0.41561	0.36022	1.4325	0.86014	1.8299	5.7887	2844199
274	1	fast	0.4	0.4	right	79	0.34712	0.3581	1.1293	0.86014	1.4558	5.4852	2849986
275	0	fast	0.6	0.4	left	80	0.35507	0.35806	1.3304	0.86014	1.6649	5.6841	2855472
276	1	fast	0.6	0.5	right	79	0.44635	0.36046	1.4323	0.86014	1.8585	5.7853	2861158
277	0	fast	0.6	0.7	left	80	0.46768	0.36086	1.6324	0.86014	2.0794	5.9861	2866944
278	1	fast	0.7	0.5	right	79	0.49866	0.36103	1.5334	0.86014	2.0138	5.8895	2872930
279	1	fast	0.4	0.3	right	79	0.34555	0.35724	1.0285	0.86014	1.3533	5.3909	2878817
280	0	fast	0.5	0.5	left	80	0.36737	0.36871	1.3411	0.86014	1.6872	5.6952	2884219
