sub	elec_name	number	event_scores	null_scores
2	LACN	8	0.7678571428571429	0.4732142857142857
2	LPCN	2	0.6964285714285714	0.5803571428571429
2	LPCN	3	0.6696428571428571	0.5714285714285714
2	LPCN	4	0.7321428571428571	0.5267857142857143
2	LPCN	5	0.7946428571428571	0.5535714285714286
2	LPCN	6	0.8303571428571429	0.5982142857142857
2	LPCN	7	0.8392857142857143	0.5446428571428571
2	LPCN	8	0.7767857142857143	0.5625
2	ROFC	1	0.7946428571428571	0.4642857142857143
2	ROFC	2	0.8660714285714286	0.49107142857142855
2	ROFC	3	0.8214285714285714	0.5446428571428571
2	ROFC	4	0.8482142857142857	0.5982142857142857
2	ROFC	5	0.8125	0.5982142857142857
2	ROFC	6	0.8839285714285714	0.4732142857142857
2	RACN	1	0.6517857142857143	0.38392857142857145
2	RACN	2	0.6607142857142857	0.4642857142857143
2	RACN	3	0.7053571428571429	0.4107142857142857
2	RACN	4	0.7410714285714286	0.5178571428571429
2	RACN	5	0.7589285714285714	0.5267857142857143
2	RACN	6	0.7946428571428571	0.6339285714285714
2	RSMA	1	0.7321428571428571	0.5803571428571429
2	RSMA	2	0.6517857142857143	0.5714285714285714
2	RSMA	3	0.6696428571428571	0.5178571428571429
2	RSMA	4	0.7589285714285714	0.4732142857142857
2	RSMA	5	0.7410714285714286	0.5089285714285714
2	RSMA	6	0.9107142857142857	0.44642857142857145
2	RSMA	7	0.9196428571428571	0.5357142857142857
2	RSMA	8	0.7321428571428571	0.5267857142857143
2	RSMA	9	0.6696428571428571	0.5
2	RSMA	10	0.6160714285714286	0.4732142857142857
2	RSMA	11	0.5803571428571429	0.4732142857142857
2	RSMA	12	0.8125	0.5714285714285714
2	RSMA	13	0.6964285714285714	0.45535714285714285
2	RSMA	14	0.7946428571428571	0.5267857142857143
2	RPLI	1	0.6785714285714286	0.5892857142857143
2	RPLI	2	0.5892857142857143	0.5
2	RPLI	3	0.7053571428571429	0.42857142857142855
2	RPLI	4	0.7053571428571429	0.36607142857142855
2	RPLI	5	0.6428571428571429	0.5267857142857143
2	RPLI	6	0.5625	0.41964285714285715
2	RMTG	1	0.7142857142857143	0.5714285714285714
2	RMTG	2	0.6785714285714286	0.5446428571428571
2	RMTG	3	0.6696428571428571	0.4375
2	RMTG	4	0.6428571428571429	0.4732142857142857
2	RMTG	5	0.5178571428571429	0.4732142857142857
2	RMTG	6	0.6071428571428571	0.5089285714285714
2	RSTG	1	0.7410714285714286	0.48214285714285715
2	RSTG	2	0.75	0.5446428571428571
2	RSTG	3	0.6696428571428571	0.4732142857142857
2	RSTG	4	0.6785714285714286	0.5267857142857143
2	RSTG	5	0.7410714285714286	0.5982142857142857
2	RSTG	6	0.5803571428571429	0.4107142857142857
2	RTPO	5	0.75	0.6607142857142857
2	RTPO	6	0.7321428571428571	0.5535714285714286
2	RTPO	7	0.7767857142857143	0.5803571428571429
5	LTPL	1	0.6068376068376068	0.49572649572649574
5	LTPL	2	0.6923076923076923	0.5128205128205128
5	LTPL	3	0.6324786324786325	0.5299145299145299
5	LTPL	4	0.6239316239316239	0.5128205128205128
5	LTPL	5	0.6495726495726496	0.5299145299145299
5	LAMY	1	0.6153846153846154	0.4444444444444444
5	LAMY	2	0.5982905982905983	0.39316239316239315
5	LAMY	3	0.5726495726495726	0.48717948717948717
5	LAMY	4	0.5299145299145299	0.452991452991453
5	LAMY	5	0.5213675213675214	0.4700854700854701
5	LAMY	6	0.5982905982905983	0.5042735042735043
5	LAMY	7	0.5811965811965812	0.5042735042735043
5	LAHP	1	0.5726495726495726	0.39316239316239315
5	LAHP	2	0.6410256410256411	0.46153846153846156
5	LAHP	3	0.5641025641025641	0.42735042735042733
5	LAHP	4	0.4700854700854701	0.48717948717948717
5	LAHP	5	0.5384615384615384	0.46153846153846156
5	LAHP	6	0.49572649572649574	0.5213675213675214
5	LAHP	7	0.5811965811965812	0.5641025641025641
5	LSTG	1	0.6495726495726496	0.5042735042735043
5	LSTG	2	0.5641025641025641	0.5384615384615384
5	LSTG	3	0.5726495726495726	0.48717948717948717
5	LSTG	4	0.5897435897435898	0.46153846153846156
5	LSTG	5	0.5641025641025641	0.5042735042735043
5	LSTG	6	0.5811965811965812	0.4444444444444444
5	LSTG	7	0.5897435897435898	0.41025641025641024
5	LAIN	1	0.5982905982905983	0.4444444444444444
5	LAIN	2	0.5811965811965812	0.5042735042735043
5	LAIN	3	0.5897435897435898	0.37606837606837606
5	LAIN	4	0.6923076923076923	0.47863247863247865
5	LAIN	5	0.6495726495726496	0.5213675213675214
