onset	duration	trial_type	value	sample
968.6334494117647	0.10003662109375	Response	4	968064
974.2257370588235	0.10003662109375	Fixation	1	973653
974.8260899999999	0.0999755859375	ISI Onset	3	974253
975.5275023529412	0.0999755859375	Go Cue	2	974954
975.9197329411764	0.0999755859375	Response	4	975346
981.5170235294116	0.0999755859375	Fixation	1	980940
981.8172	0.0999755859375	ISI Onset	3	981240
982.2204370588234	0.0999755859375	Go Cue	2	981643
982.579648235294	0.0999755859375	Response	4	982002
988.2069564705881	0.0999755859375	Fixation	1	987626
988.7072505882352	0.0999755859375	ISI Onset	3	988126
989.0104288235293	0.0999755859375	Go Cue	2	988429
989.4116647058822	0.0999755859375	Response	4	988830
994.9979488235293	0.10003662109375	Fixation	1	994413
995.398184117647	0.0999755859375	ISI Onset	3	994813
996.0015388235294	0.10003662109375	Go Cue	2	995416
996.425788235294	0.10003662109375	Response	4	995840
1001.988058235294	0.10003662109375	Fixation	1	1001399
1002.2882347058822	0.10003662109375	ISI Onset	3	1001699
1002.6904711764705	0.0999755859375	Go Cue	2	1002101
1003.1157211764705	0.0999755859375	Response	4	1002526
1008.6789917647058	0.0999755859375	Fixation	1	1008086
1009.0792270588234	0.0999755859375	ISI Onset	3	1008486
1009.3814047058822	0.0999755859375	Go Cue	2	1008788
1009.7586264705882	0.10003662109375	Response	4	1009165
1015.3689247058823	0.10003662109375	Fixation	1	1014772
1015.7691599999999	0.0999755859375	ISI Onset	3	1015172
1016.2724558823529	0.0999755859375	Go Cue	2	1015675
1016.6546805882352	0.10003662109375	Response	4	1016057
1022.2599758823528	0.10003662109375	Fixation	1	1021659
1022.6602111764705	0.0999755859375	ISI Onset	3	1022059
1023.1625064705881	0.0999755859375	Go Cue	2	1022561
1023.4776917647058	0.0999755859375	Response	4	1022876
1029.150026470588	0.0999755859375	Fixation	1	1028545
1029.4502029411765	0.0999755859375	ISI Onset	3	1028845
1029.9524982352941	0.0999755859375	Go Cue	2	1029347
1030.4167711764705	0.0999755859375	Response	4	1029811
1035.9410188235292	0.0999755859375	Fixation	1	1035332
1036.2411952941175	0.0999755859375	ISI Onset	3	1035632
1036.84455	0.0999755859375	Go Cue	2	1036235
1037.1907535294117	0.0999755859375	Response	4	1036581
1042.8310694117647	0.0999755859375	Fixation	1	1042218
1043.3313635294116	0.0999755859375	ISI Onset	3	1042718
1044.0347770588235	0.0999755859375	Go Cue	2	1043421
1044.4580258823528	0.0999755859375	Response	4	1043844
1050.0222970588234	0.0999755859375	Fixation	1	1049405
1050.5225911764705	0.0999755859375	ISI Onset	3	1049905
1051.1249452941177	0.0999755859375	Go Cue	2	1050507
1051.409112352941	0.10009765625	Response	4	1050791
1057.1124652941176	0.10009765625	Fixation	1	1056491
1057.6127594117647	0.0999755859375	ISI Onset	3	1056991
1058.3161729411763	0.0999755859375	Go Cue	2	1057694
1058.6713817647058	0.0999755859375	Response	4	1058049
1064.3036929411765	0.0999755859375	Fixation	1	1063678
1064.8039870588234	0.0999755859375	ISI Onset	3	1064178
1065.5084011764704	0.0999755859375	Go Cue	2	1064882
1065.9136394117647	0.0999755859375	Response	4	1065287
1071.4949205882351	0.10009765625	Fixation	1	1070865
1071.8951558823528	0.0999755859375	ISI Onset	3	1071265
1072.5985694117646	0.10009765625	Go Cue	2	1071968
1072.90575	0.0999755859375	Response	4	1072275
1078.5850888235293	0.0999755859375	Fixation	1	1077951
1079.2855005882352	0.0999755859375	ISI Onset	3	1078651
1079.7877958823528	0.0999755859375	Go Cue	2	1079153
1080.1400029411764	0.0999755859375	Response	4	1079505
